School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
Kent State,21,15,6,.714,5.25,-1.44,5,3,9,1,5,3,1644,1448,850,595,1300,.458,191,532,.359,263,356,.739,220,758,299,157,99,252,389
Kentucky,20,16,4,.800,15.45,5.00,6,1,12,1,3,1,1509,1300,810,523,1131,.462,96,297,.323,367,474,.774,201,769,291,106,102,261,360
La Salle,20,10,10,.500,0.17,1.32,1,7,5,5,2,5,1378,1401,815,487,1165,.418,163,482,.338,241,364,.662,216,722,265,159,74,310,396
Lafayette,20,13,7,.650,-3.77,-5.56,5,4,6,3,7,4,1461,1387,800,536,1133,.473,193,514,.375,196,263,.745,143,693,328,89,81,252,275
Lamar,21,10,11,.476,-8.06,-5.11,4,6,6,4,4,7,1485,1430,850,545,1248,.437,114,360,.317,281,413,.680,248,757,276,204,103,335,366
Lehigh,21,5,16,.238,-11.72,-2.35,2,7,4,4,1,12,1422,1544,845,540,1218,.443,115,347,.331,227,306,.742,182,713,252,120,52,296,382
Liberty,23,20,3,.870,6.45,-6.17,6,2,10,0,4,3,1564,1194,920,565,1189,.475,176,480,.367,258,366,.705,174,778,297,128,67,220,311
Lipscomb,21,8,13,.381,-8.74,-3.53,3,5,5,4,3,9,1499,1525,845,547,1249,.438,158,464,.341,247,361,.684,205,735,281,118,53,275,328
Cal State Long Beach,22,7,15,.318,-8.63,3.12,2,4,5,4,1,9,1497,1685,880,543,1242,.437,137,377,.363,274,400,.685,199,742,243,137,86,375,401
Long Island University,21,10,11,.476,-7.05,-5.10,5,3,5,3,4,7,1639,1637,855,569,1268,.449,211,617,.342,290,411,.706,161,720,309,146,73,297,358
Longwood,22,7,15,.318,-13.58,-8.53,2,7,4,5,3,10,1485,1539,895,490,1232,.398,195,593,.329,310,425,.729,193,767,226,153,42,326,424
Louisiana,22,9,13,.409,-5.50,-0.50,4,7,6,5,2,7,1550,1627,885,527,1294,.407,166,511,.325,330,456,.724,243,793,239,139,64,317,375
Louisiana-Monroe,20,6,14,.300,-8.16,0.12,2,9,6,5,0,9,1251,1354,805,444,1053,.422,118,350,.337,245,364,.673,172,650,219,96,66,278,335
Louisiana State,20,16,4,.800,15.52,5.37,7,0,11,1,4,1,1602,1399,805,583,1214,.480,123,401,.307,313,404,.775,251,806,270,133,86,276,295
Louisiana Tech,21,16,5,.762,8.12,-2.98,7,2,10,1,6,4,1579,1282,840,582,1244,.468,181,501,.361,234,357,.655,223,789,303,162,51,259,349
Louisville,21,18,3,.857,18.41,5.69,9,1,12,1,5,1,1582,1315,850,562,1217,.462,173,443,.391,285,396,.720,233,835,305,116,65,260,352
Loyola (IL),22,14,8,.636,7.04,-0.24,6,3,9,2,3,4,1522,1338,885,561,1109,.506,124,340,.365,276,405,.681,119,659,322,169,40,290,302
Loyola Marymount,22,8,14,.364,-1.77,2.80,2,6,7,5,0,7,1439,1492,880,533,1147,.465,132,411,.321,241,374,.644,181,652,265,136,45,291,430
Loyola (MD),22,9,13,.409,-11.37,-6.61,1,8,5,3,3,10,1603,1676,890,569,1230,.463,151,463,.326,314,506,.621,189,741,354,153,66,298,391
Maine,21,6,15,.286,-13.55,-2.90,2,5,4,4,1,11,1287,1460,850,464,1131,.410,142,494,.287,217,310,.700,196,691,301,138,65,322,374
Manhattan,17,8,9,.471,-7.40,-6.34,4,4,4,3,4,6,1084,1102,690,378,954,.396,131,407,.322,197,313,.629,166,592,234,122,57,232,353
Marist,18,4,14,.222,-14.92,-7.09,3,6,2,6,2,8,1071,1212,735,381,1005,.379,123,380,.324,186,305,.610,177,617,165,123,53,251,342
Marquette,21,15,6,.714,15.33,7.09,5,4,10,1,3,4,1647,1474,860,534,1242,.430,215,546,.394,364,497,.732,216,847,287,110,101,286,407
Marshall,22,10,12,.455,1.98,0.64,4,5,6,6,3,6,1651,1587,880,624,1376,.453,146,503,.290,257,392,.656,252,835,299,199,132,341,408
Maryland-Baltimore County,22,9,13,.409,-10.96,-4.18,2,5,7,4,2,7,1518,1486,885,549,1240,.443,161,491,.328,259,419,.618,204,756,293,118,44,293,370
Maryland-Eastern Shore,21,2,19,.095,-22.62,-1.42,1,5,2,4,0,15,1142,1520,845,422,1189,.355,114,477,.239,184,298,.617,200,680,211,163,74,331,388
Maryland,21,17,4,.810,18.82,8.77,7,3,12,0,2,4,1518,1307,840,503,1210,.416,160,505,.317,352,478,.736,258,831,267,102,101,254,315
Massachusetts-Lowell,22,8,14,.364,-8.96,-5.01,2,5,5,7,3,7,1659,1699,895,590,1291,.457,158,458,.345,321,449,.715,202,760,332,157,60,302,364
Massachusetts,21,9,12,.429,0.07,2.07,3,5,8,3,1,6,1482,1524,850,520,1211,.429,172,496,.347,270,392,.689,189,690,281,150,69,288,392
McNeese State,21,12,9,.571,-6.22,-4.58,7,3,9,2,3,7,1707,1524,845,612,1192,.513,189,449,.421,294,412,.714,206,751,348,148,94,347,333
Memphis,20,15,5,.750,13.05,2.95,4,3,10,2,4,2,1474,1272,800,527,1160,.454,128,384,.333,292,435,.671,226,815,293,167,128,340,382
Mercer,22,11,11,.500,-4.72,-3.12,5,4,6,4,5,5,1597,1570,880,586,1285,.456,164,445,.369,261,358,.729,222,794,305,149,63,332,409
Merrimack,22,14,8,.636,-7.53,-5.43,8,1,6,2,7,5,1387,1337,890,502,1200,.418,161,514,.313,222,315,.705,176,635,268,231,55,265,370
Miami (FL),20,11,9,.550,5.66,8.41,3,7,6,3,3,4,1434,1489,810,523,1182,.442,146,421,.347,242,326,.742,174,666,207,117,74,244,278
Miami (OH),20,9,11,.450,-4.47,-0.75,2,5,7,4,1,5,1492,1457,800,539,1228,.439,180,505,.356,234,316,.741,196,723,261,103,56,238,360
Michigan State,21,16,5,.762,22.86,8.24,8,2,10,1,3,2,1621,1314,840,574,1245,.461,160,459,.349,313,415,.754,248,882,395,108,113,267,339
Michigan,20,12,8,.600,16.21,9.06,3,6,8,3,1,5,1534,1391,815,576,1227,.469,165,483,.342,217,307,.707,178,720,304,115,92,228,304
Middle Tennessee,22,5,17,.227,-9.62,2.01,1,8,4,6,1,8,1571,1672,885,556,1322,.421,177,530,.334,282,420,.671,232,788,287,152,75,306,419
Milwaukee,21,10,11,.476,-6.73,-2.94,5,4,7,3,2,6,1520,1532,860,541,1333,.406,158,505,.313,280,407,.688,270,783,251,126,70,277,459
Minnesota,21,11,10,.524,15.27,11.18,5,6,9,2,1,7,1474,1388,850,525,1249,.420,164,518,.317,260,361,.720,243,814,309,107,102,254,352
Mississippi State,20,13,7,.650,13.75,5.90,4,3,9,2,2,3,1460,1303,800,520,1125,.462,113,334,.338,307,415,.740,265,773,268,121,101,282,342
Mississippi Valley State,19,1,18,.053,-30.08,-3.87,1,6,0,3,1,15,1261,1759,760,472,1300,.363,143,527,.271,174,270,.644,196,673,189,122,56,269,377
Mississippi,20,10,10,.500,5.53,4.53,1,6,7,4,1,5,1376,1356,810,481,1116,.431,126,396,.318,288,407,.708,185,685,274,148,54,271,381
Missouri-Kansas City,22,11,11,.500,-5.67,-0.20,3,4,7,2,2,7,1569,1489,900,580,1269,.457,164,443,.370,245,366,.669,195,715,303,178,74,295,460
Missouri State,22,10,12,.455,0.27,0.37,4,5,7,3,2,7,1477,1479,880,531,1245,.427,147,427,.344,268,357,.751,224,806,248,131,61,310,368
