,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Bryant,31,19,12,.613,-2.08,-4.72,12,6,11,5,8,7,2294,2212,,67.0,106.1,.302,.393,.544,51.6,55.5,10.1,11.2,.518,15.3,33.3,.209
33,Bucknell NCAA,34,28,6,.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,,62.6,92.3,.291,.309,.463,47.7,48.9,7.2,5.8,.425,12.6,26.5,.205
34,Buffalo,34,14,20,.412,-1.94,-0.35,7,9,9,6,4,10,2275,2287,,64.9,102.8,.365,.314,.514,49.4,52.3,11.3,9.5,.472,14.9,34.9,.262
35,Butler NCAA,36,27,9,.750,10.99,6.08,11,5,14,2,7,4,2495,2299,,64.9,98.1,.355,.310,.508,46.6,49.2,10.0,9.1,.468,15.2,28.9,.250
36,Cal Poly,32,18,14,.563,-0.46,-0.62,12,6,13,1,4,12,2074,2020,,60.0,104.3,.368,.345,.554,51.8,58.9,6.5,10.4,.523,17.3,31.2,.256
37,Cal State Bakersfield,30,14,16,.467,-6.44,-2.17,0,0,9,4,3,11,2041,2070,,67.7,100.3,.487,.346,.551,52.8,56.0,9.0,9.3,.510,19.7,32.9,.338
38,Cal State Fullerton,32,14,18,.438,-2.97,-3.03,6,12,6,7,6,10,2451,2381,,70.2,106.0,.355,.320,.561,57.4,58.3,8.1,8.6,.533,19.5,39.8,.245
39,Cal State Northridge,31,14,17,.452,-3.89,-1.93,5,13,6,7,5,10,2333,2309,,71.5,104.1,.383,.360,.566,50.0,56.5,9.5,8.6,.535,19.4,33.5,.267
40,UC-Davis,31,14,17,.452,-3.50,-2.57,9,9,6,7,6,9,2210,2239,,67.3,106.9,.310,.357,.530,52.4,58.3,11.3,9.5,.496,13.4,33.0,.223
41,UC-Irvine,37,21,16,.568,0.17,-0.66,11,7,13,1,5,13,2558,2418,,67.0,96.5,.371,.297,.479,51.1,52.5,9.1,7.6,.435,13.9,32.8,.258
42,UC-Riverside,31,6,25,.194,-11.49,-1.71,3,15,5,9,1,14,1829,2062,,64.5,102.7,.320,.396,.536,50.4,58.8,10.1,9.0,.501,16.0,30.8,.232
43,UC-Santa Barbara,31,11,20,.355,-4.22,0.40,7,11,8,6,3,13,2003,2090,,64.2,103.7,.372,.362,.527,51.5,58.9,10.3,8.3,.488,15.5,34.1,.264
44,University of California NCAA,33,21,12,.636,10.65,7.77,12,6,11,5,6,5,2218,2123,,66.5,96.4,.325,.293,.480,50.0,51.1,8.9,7.2,.443,14.3,33.2,.223
45,Campbell,33,13,20,.394,-10.25,-5.55,7,9,8,8,4,9,2284,2395,,67.7,104.8,.378,.324,.539,54.1,56.7,10.4,7.4,.506,17.4,39.4,.260
46,Canisius,34,20,14,.588,2.37,-0.99,11,7,12,4,8,9,2499,2385,,66.8,104.2,.324,.365,.536,51.4,59.6,9.9,10.3,.504,17.0,36.6,.230
47,Central Arkansas,30,13,17,.433,-10.87,-6.12,7,11,8,7,5,8,2294,2359,,73.2,104.8,.403,.272,.533,54.1,56.2,9.9,8.7,.504,16.8,40.0,.262
48,Central Connecticut State,30,13,17,.433,-8.24,-4.04,9,9,6,6,7,10,2186,2312,,70.7,107.2,.293,.352,.541,57.4,55.8,8.1,7.4,.517,16.0,40.0,.198
49,Central Florida,31,20,11,.645,3.44,0.96,9,7,14,5,5,6,2194,2079,,66.5,100.0,.254,.329,.504,51.2,56.3,11.4,8.6,.478,16.0,36.6,.173
50,Central Michigan,31,11,20,.355,-6.14,-1.21,4,12,6,6,2,13,2092,2226,,65.5,108.8,.339,.356,.568,55.3,57.8,9.1,13.0,.544,17.3,37.7,.230
51,Charleston Southern,32,19,13,.594,-2.07,-5.62,12,4,11,3,6,9,2361,2144,,68.1,97.6,.291,.365,.511,50.1,50.1,8.7,11.1,.479,17.3,32.5,.207
52,Charlotte,33,21,12,.636,2.69,2.75,8,8,12,3,5,7,2229,2231,,68.2,98.4,.393,.362,.512,49.4,51.0,10.9,9.4,.469,17.4,34.4,.277
53,Chattanooga,32,13,19,.406,-10.47,-4.97,8,10,8,9,4,9,2218,2318,,68.8,104.4,.324,.434,.558,49.4,65.9,10.8,9.3,.531,17.3,30.6,.226
54,Chicago State,33,11,22,.333,-11.77,-4.91,3,5,8,5,2,16,2151,2276,,68.2,99.2,.460,.337,.545,54.9,56.6,10.0,8.5,.503,20.9,36.4,.322
55,Cincinnati NCAA,34,22,12,.647,14.46,6.93,9,9,13,5,4,5,2262,2006,,64.9,89.9,.327,.304,.469,48.3,53.8,8.8,8.8,.433,17.4,33.4,.218
56,Citadel,30,8,22,.267,-16.99,-5.45,5,13,5,8,3,12,1931,2195,,65.0,112.2,.280,.366,.566,54.7,51.7,13.7,8.2,.540,16.1,40.1,.203
57,Clemson,31,13,18,.419,5.82,4.44,5,13,8,7,3,9,1907,1864,,62.2,96.6,.329,.305,.500,52.1,52.9,8.8,7.6,.468,17.4,34.7,.220
58,Cleveland State,32,14,18,.438,-7.34,-0.16,5,11,9,5,3,13,2051,2226,,65.4,105.9,.433,.338,.567,54.1,62.5,10.0,10.3,.522,18.9,36.8,.323
59,Coastal Carolina,29,14,15,.483,-5.61,-5.22,9,7,12,4,2,11,1943,1840,,65.6,96.2,.381,.419,.521,48.5,55.2,9.3,7.6,.484,20.2,34.2,.264
60,Colgate,32,11,21,.344,-8.73,-2.58,5,9,7,5,3,16,2033,2230,,66.4,104.6,.330,.344,.524,52.2,53.9,9.7,8.2,.491,13.2,29.5,.230
61,College of Charleston,35,24,11,.686,0.17,-3.86,14,4,10,7,11,2,2297,2176,,63.8,97.4,.263,.292,.486,48.2,42.4,11.2,7.8,.452,13.3,30.2,.189
62,Colorado State NCAA,35,26,9,.743,13.65,5.89,11,5,16,1,6,6,2553,2229,,64.6,98.3,.364,.371,.513,43.1,43.8,8.0,8.0,.477,14.9,25.9,.249
63,Colorado NCAA,33,21,12,.636,11.95,7.95,10,8,12,3,5,7,2230,2098,,65.7,95.4,.253,.365,.488,49.8,46.8,10.1,10.1,.459,16.5,33.1,.175
64,Columbia,28,12,16,.429,-3.25,-3.48,4,10,6,7,5,9,1746,1694,,61.3,98.7,.396,.290,.528,51.5,50.9,7.9,11.3,.489,17.8,29.4,.279
65,Connecticut,30,20,10,.667,11.88,7.42,10,8,13,3,4,5,2096,1962,,64.9,97.2,.310,.310,.488,55.6,51.0,10.0,10.2,.453,16.8,40.1,.214
66,Coppin State,32,8,24,.250,-12.65,-4.20,5,11,4,7,4,15,2035,2277,,69.3,101.0,.375,.367,.529,58.8,57.9,10.5,12.8,.499,19.7,43.6,.248
67,Cornell,31,13,18,.419,-7.27,-2.37,5,9,4,10,7,8,2040,2168,,67.2,104.1,.366,.363,.564,53.0,58.8,9.6,11.3,.531,18.3,30.2,.263
68,Creighton NCAA,36,28,8,.778,16.44,5.16,13,5,15,2,7,5,2680,2274,,65.0,97.2,.261,.332,.488,48.4,51.1,10.2,7.8,.459,13.9,29.2,.178
69,Dartmouth,28,9,19,.321,-9.21,-3.17,5,9,6,7,3,12,1719,1844,,64.1,102.3,.415,.334,.547,53.4,54.0,10.1,11.1,.501,18.6,33.3,.308
70,Davidson NCAA,34,26,8,.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,,64.8,95.5,.368,.264,.497,50.7,41.0,8.5,8.8,.452,16.3,30.7,.264
71,Dayton,31,17,14,.548,9.36,4.27,7,9,13,4,2,8,2225,2067,,66.4,99.7,.375,.329,.530,49.2,59.9,8.8,10.3,.492,18.3,33.2,.264
72,Delaware State,33,15,18,.455,-11.19,-5.90,8,8,8,3,5,12,1997,2094,,62.3,100.0,.321,.287,.513,54.7,57.3,10.8,9.7,.482,18.2,40.8,.218
73,Delaware,33,19,14,.576,-0.78,-0.81,13,5,9,4,8,7,2276,2275,,66.6,101.9,.330,.311,.499,50.2,51.4,10.3,7.5,.465,13.5,34.0,.224
74,Denver,32,22,10,.688,9.20,0.26,16,2,14,2,8,7,2076,1790,,59.7,93.3,.410,.245,.520,57.8,44.3,8.0,8.6,.473,22.6,37.3,.296
