,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
142,La Salle NCAA,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,,66.5,99.1,.285,.246,.520,55.4,50.0,8.7,10.7,.493,18.3,37.7,.194
143,Lafayette,34,19,15,.559,-3.00,-2.36,10,4,14,3,5,12,2349,2346,,65.8,104.5,.314,.322,.548,56.2,52.7,9.8,8.5,.522,17.8,36.3,.215
144,Lamar,31,3,28,.097,-20.55,-3.26,1,17,1,10,1,17,1862,2398,,70.7,108.4,.290,.282,.528,53.3,54.4,13.9,9.7,.503,13.5,38.4,.195
145,Lehigh,31,21,10,.677,3.95,-3.01,10,4,11,3,9,7,2266,2022,,66.6,97.9,.288,.363,.501,55.0,60.2,7.8,8.9,.469,17.4,37.3,.200
146,Liberty NCAA,36,15,21,.417,-9.13,-5.80,6,10,8,7,4,11,2489,2519,,66.6,104.0,.385,.334,.511,52.8,51.3,9.9,10.1,.473,13.5,35.3,.263
147,Lipscomb,30,12,18,.400,-11.70,-3.45,7,11,8,6,4,11,2079,2300,,70.9,106.8,.444,.412,.548,50.1,58.9,11.4,12.0,.517,16.2,34.5,.294
148,Cal State Long Beach,33,19,14,.576,-1.18,1.92,14,4,11,3,7,10,2291,2360,,68.2,104.5,.320,.360,.531,52.9,60.9,9.6,8.1,.504,16.9,38.2,.215
149,Long Island University NCAA,34,20,14,.588,-3.21,-5.80,12,6,12,2,7,9,2677,2589,,70.0,108.0,.316,.309,.550,51.4,54.2,9.8,10.0,.526,15.8,37.2,.214
150,Longwood,33,8,25,.242,-19.36,-5.10,4,12,4,9,2,14,2270,2687,,72.4,112.1,.344,.292,.570,54.5,55.9,12.4,8.0,.539,15.9,37.3,.249
151,Louisiana,33,13,20,.394,-4.92,-2.23,8,12,10,5,2,14,2337,2413,,71.0,101.9,.428,.305,.528,55.7,45.6,9.1,10.1,.486,17.9,38.6,.298
152,Louisiana-Monroe,27,4,23,.148,-13.97,-1.45,3,17,3,9,1,13,1621,1959,,66.9,107.4,.396,.364,.569,56.8,55.3,12.1,14.1,.535,18.8,37.9,.282
153,Louisiana State,31,19,12,.613,5.82,4.01,9,9,14,3,4,8,2194,2138,,69.0,98.3,.380,.308,.508,52.5,43.9,10.5,10.9,.470,18.3,37.9,.260
154,Louisiana Tech,34,27,7,.794,5.48,-2.06,16,2,14,0,11,6,2470,2151,,70.6,89.7,.353,.284,.482,52.7,46.4,8.5,8.9,.445,20.9,37.2,.236
155,Louisville NCAA,40,35,5,.875,24.81,9.13,14,4,15,1,8,3,2978,2351,,66.4,87.1,.349,.333,.483,48.9,49.7,8.3,8.1,.448,23.1,35.4,.230
156,Loyola (IL),31,15,16,.484,-1.03,-2.30,5,11,8,6,6,9,1995,1934,,63.1,98.5,.300,.313,.516,51.0,50.5,10.7,11.7,.484,16.3,31.0,.209
157,Loyola Marymount,34,11,23,.324,-3.04,2.86,1,15,5,9,2,12,2202,2338,,66.0,103.0,.404,.358,.542,52.1,58.5,10.2,8.5,.511,18.1,34.7,.271
158,Loyola (MD),35,23,12,.657,1.33,-2.10,12,6,13,3,7,8,2341,2221,,63.9,97.9,.424,.295,.498,52.1,49.0,8.1,10.4,.458,17.6,40.1,.281
159,Maine,30,11,19,.367,-9.57,-4.12,6,10,8,4,3,15,1988,2091,,69.1,100.9,.332,.323,.510,52.0,51.1,11.0,6.8,.475,15.1,33.9,.230
160,Manhattan,32,14,18,.438,-1.97,-0.38,9,9,7,4,5,11,1865,1916,,62.5,95.0,.465,.328,.510,53.0,58.2,11.2,12.7,.461,19.9,36.1,.322
161,Marist,31,10,21,.323,-6.34,-1.63,6,12,6,7,3,11,2045,2191,,67.8,103.0,.320,.302,.528,55.1,51.1,11.3,9.4,.499,16.3,35.6,.218
162,Marquette NCAA,35,26,9,.743,14.04,8.58,14,4,16,0,5,6,2382,2191,,63.4,97.4,.317,.359,.495,49.2,59.5,10.2,9.8,.462,16.6,36.8,.216
163,Marshall,32,13,19,.406,-3.62,0.93,6,10,11,4,1,11,2208,2327,,68.8,104.9,.383,.293,.526,51.5,56.7,12.4,7.7,.495,16.0,39.5,.254
164,Maryland-Baltimore County,31,8,23,.258,-12.50,-3.70,5,11,6,8,1,14,1970,2216,,67.6,104.1,.446,.352,.546,54.9,56.3,10.9,7.9,.508,17.7,35.4,.308
165,Maryland-Eastern Shore,28,2,26,.071,-19.61,-5.11,2,14,2,6,0,15,1535,1941,,64.6,106.4,.332,.344,.559,54.4,59.3,11.1,12.1,.537,18.3,39.3,.220
166,Maryland,38,25,13,.658,11.37,4.66,8,10,18,3,4,7,2688,2433,,67.3,94.8,.297,.339,.474,46.0,51.2,10.1,10.2,.436,13.6,30.3,.210
167,Massachusetts,33,21,12,.636,5.82,4.55,9,7,10,5,8,4,2408,2366,,70.9,100.8,.350,.326,.513,52.1,55.2,10.0,8.8,.474,16.1,35.8,.248
168,McNeese State,31,14,17,.452,-11.49,-4.63,7,11,9,5,4,11,2055,2172,,66.0,103.6,.359,.295,.517,54.7,56.6,8.8,7.9,.480,16.3,40.1,.249
169,Memphis NCAA,36,31,5,.861,12.26,2.70,16,0,17,1,9,1,2681,2337,,69.5,92.7,.349,.304,.492,49.2,50.1,10.6,8.1,.455,19.0,33.9,.236
170,Mercer,36,24,12,.667,0.69,-4.08,14,4,13,0,9,8,2371,2135,,62.9,93.7,.392,.375,.495,52.7,52.6,9.1,9.4,.457,19.1,35.7,.258
171,Miami (FL) NCAA,36,29,7,.806,16.99,7.88,15,3,14,1,10,3,2509,2181,,64.0,94.3,.283,.349,.484,49.9,48.9,8.3,8.3,.457,15.9,30.7,.184
172,Miami (OH),31,9,22,.290,-6.62,-0.26,3,13,5,8,4,13,1954,2128,,65.3,104.6,.375,.382,.564,56.3,59.4,11.1,10.9,.538,19.9,37.6,.254
173,Michigan State NCAA,36,27,9,.750,18.64,10.55,13,5,17,1,6,5,2448,2129,,64.7,91.4,.320,.342,.476,46.7,51.5,11.5,8.8,.441,16.6,30.1,.213
174,Michigan NCAA,39,31,8,.795,21.28,10.05,12,6,17,1,5,5,2932,2467,,64.1,97.7,.226,.335,.501,50.1,52.5,8.3,8.3,.478,16.0,32.3,.154
175,Middle Tennessee NCAA,34,28,6,.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,,65.6,87.9,.428,.317,.481,47.7,46.3,9.8,7.0,.444,20.5,31.5,.271
176,Milwaukee,32,8,24,.250,-10.33,-0.26,3,13,7,7,1,15,2007,2264,,66.0,105.5,.304,.306,.530,56.6,54.2,11.5,11.6,.500,15.2,39.2,.213
177,Minnesota NCAA,34,21,13,.618,16.83,10.31,8,10,15,2,3,8,2337,2115,,63.5,97.6,.367,.347,.497,46.9,56.3,12.0,9.1,.456,17.1,36.9,.255
178,Mississippi State,32,10,22,.313,-4.54,4.34,4,14,7,7,1,11,1940,2224,,68.2,101.0,.258,.365,.524,55.4,56.6,12.3,13.4,.499,18.8,39.8,.178
179,Mississippi Valley State,28,5,23,.179,-19.13,-8.28,5,13,4,5,1,16,1765,2069,,70.7,104.0,.431,.274,.542,56.7,49.1,11.1,11.2,.515,18.8,41.9,.276
180,Mississippi NCAA,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,,70.5,94.0,.311,.363,.495,51.9,54.6,8.1,7.8,.464,18.5,35.5,.206
181,Missouri-Kansas City,32,8,24,.250,-13.61,-2.74,5,11,3,11,4,11,1950,2252,,65.2,108.0,.416,.310,.568,53.2,55.1,12.1,9.3,.540,16.8,33.3,.282
182,Missouri State,33,11,22,.333,-2.80,4.65,7,11,8,7,2,12,1966,2136,,61.5,104.6,.386,.350,.546,55.4,55.9,7.7,9.6,.510,17.1,33.3,.272
183,Missouri NCAA,34,23,11,.676,15.41,6.00,11,7,17,0,2,8,2588,2268,,68.2,97.0,.297,.349,.493,46.3,46.3,9.3,8.2,.461,15.1,31.5,.203
184,Monmouth,31,10,21,.323,-12.02,-4.19,5,13,5,8,3,13,2009,2252,,70.8,102.6,.415,.384,.561,57.9,61.0,10.1,13.7,.529,21.8,41.3,.285
185,Montana State,30,13,17,.433,-10.90,-6.69,10,10,10,6,3,10,2118,2181,,67.0,106.7,.382,.353,.582,53.9,53.4,9.4,8.1,.548,19.3,33.0,.280
186,Montana NCAA,32,25,7,.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,,63.8,100.7,.350,.303,.519,53.6,48.6,8.9,8.4,.481,16.1,33.7,.248
187,Morehead State,33,15,18,.455,-5.36,-1.81,8,8,10,5,3,12,2396,2408,,70.9,101.4,.580,.348,.571,48.1,63.2,11.2,10.3,.517,21.2,32.8,.421
188,Morgan State,32,17,15,.531,-5.39,-7.51,10,6,5,4,8,9,2162,2094,,67.3,95.7,.382,.307,.492,51.6,49.0,10.5,8.0,.453,18.3,39.7,.257
189,Mount St. Mary's,32,18,14,.563,-5.85,-4.10,11,7,10,2,8,12,2233,2289,,67.6,105.4,.382,.241,.580,56.5,51.5,8.8,7.7,.557,20.8,37.1,.255
190,Murray State,31,21,10,.677,1.21,-2.89,10,6,10,4,8,4,2257,2071,,67.0,98.1,.329,.319,.511,50.7,53.3,9.8,7.9,.471,17.7,34.5,.240
191,Navy,31,8,23,.258,-11.31,-4.44,2,12,5,9,2,13,1709,1888,,60.6,100.1,.378,.399,.525,57.6,61.3,8.5,8.9,.491,18.5,37.7,.256
192,Omaha,31,11,20,.355,-15.18,-3.90,6,10,7,6,3,13,2215,2548,,71.6,114.8,.291,.341,.578,57.5,51.9,10.8,6.4,.556,15.3,39.5,.205
193,Nebraska,33,15,18,.455,4.40,9.59,5,13,11,7,2,9,1923,2094,,61.8,102.6,.389,.313,.521,55.7,49.7,8.4,11.3,.486,15.5,34.4,.263
194,Nevada-Las Vegas NCAA,35,25,10,.714,12.92,5.71,10,6,17,2,6,6,2498,2206,,68.9,91.1,.294,.319,.475,48.0,50.9,9.4,6.7,.439,16.3,29.5,.204
195,Nevada,31,12,19,.387,0.45,5.35,3,13,10,7,2,11,2092,2229,,66.9,106.6,.396,.341,.548,54.5,58.5,9.8,11.3,.517,16.2,35.7,.269
196,New Hampshire,29,9,20,.310,-8.26,-4.19,5,11,6,6,3,13,1745,1819,,64.5,96.4,.364,.311,.495,54.0,45.9,9.8,8.5,.452,16.3,32.9,.258
197,New Mexico State NCAA,35,24,11,.686,5.11,0.70,14,4,15,1,6,8,2355,2175,,65.2,94.6,.303,.299,.488,46.9,47.2,9.4,7.9,.450,16.2,31.6,.217
198,New Mexico NCAA,35,29,6,.829,13.28,6.63,13,3,15,1,8,4,2355,2122,,64.7,93.1,.257,.391,.486,50.6,57.9,8.3,8.5,.459,16.9,30.3,.173
199,New Orleans,26,8,18,.308,-21.26,-6.12,0,0,8,4,0,13,1791,1958,,72.6,101.2,.403,.310,.539,54.7,57.5,12.3,7.2,.508,19.2,38.5,.269
200,Niagara,33,19,14,.576,0.58,-1.15,13,5,11,4,7,8,2436,2379,,68.9,103.1,.406,.358,.550,54.4,55.0,8.0,10.2,.517,19.4,37.7,.279
201,Nicholls State,30,9,21,.300,-10.54,-4.97,8,10,5,5,4,13,2020,2187,,67.3,106.9,.393,.269,.555,56.5,51.3,9.9,11.8,.521,17.8,40.1,.275
202,NJIT,29,16,13,.552,-8.33,-9.01,6,2,12,3,4,9,2042,1869,,68.5,91.8,.384,.339,.480,50.5,58.4,8.9,12.8,.437,18.7,35.5,.262
203,Norfolk State,33,21,12,.636,-5.77,-6.56,16,0,11,0,10,9,2188,2162,,68.7,95.0,.385,.309,.487,53.3,48.4,10.4,10.1,.449,18.4,39.3,.256
204,North Carolina-Asheville,32,16,16,.500,-3.67,-3.98,10,6,10,4,6,8,2296,2213,,69.6,99.0,.319,.312,.517,50.9,56.2,11.3,7.7,.488,17.8,35.3,.215
205,North Carolina A&T NCAA,37,20,17,.541,-6.94,-6.30,8,8,9,3,5,12,2299,2291,,67.1,92.0,.409,.382,.488,53.6,57.0,10.1,10.8,.449,20.1,36.4,.267
206,North Carolina Central,31,22,9,.710,-2.23,-7.05,15,1,12,2,9,5,2079,1758,,64.9,87.3,.383,.357,.479,50.6,53.2,10.5,9.6,.444,21.3,33.6,.245
207,North Carolina-Greensboro,31,9,22,.290,-9.42,-5.31,6,12,6,9,2,12,2222,2286,,71.7,102.9,.501,.330,.548,52.5,49.0,8.6,8.4,.494,17.2,30.4,.367
208,North Carolina State NCAA,35,24,11,.686,14.32,7.17,11,7,16,1,3,7,2708,2458,,68.6,102.0,.290,.323,.504,49.8,45.6,8.7,8.2,.468,14.1,35.2,.210
209,North Carolina-Wilmington,30,10,20,.333,-10.09,-2.27,5,13,9,5,1,15,1899,2111,,66.6,105.7,.372,.303,.536,52.6,50.3,13.3,9.5,.500,15.4,34.9,.261
210,North Carolina NCAA,36,25,11,.694,14.52,8.01,12,6,14,2,7,6,2762,2492,,71.6,96.3,.268,.330,.509,51.4,47.8,9.4,8.4,.480,18.6,35.0,.188
211,North Dakota State,34,24,10,.706,5.21,-4.01,12,4,12,1,7,8,2282,1908,,61.0,91.3,.353,.331,.482,47.8,51.9,9.0,8.7,.439,16.4,26.8,.248
212,North Dakota,33,16,17,.485,-8.53,-5.34,12,8,9,5,6,11,2222,2243,,67.2,100.7,.325,.314,.521,53.9,49.4,10.3,10.7,.485,17.6,36.0,.234
213,North Florida,32,13,19,.406,-7.35,-3.22,8,10,7,4,4,14,2121,2235,,66.7,104.8,.364,.241,.518,55.3,46.2,11.3,11.5,.482,15.7,40.9,.250
214,North Texas,32,12,20,.375,-6.39,-2.73,7,13,8,7,2,11,2117,2201,,67.7,100.5,.337,.312,.509,52.1,48.7,9.9,8.2,.473,15.9,36.7,.234
215,Northeastern,33,20,13,.606,-1.35,-1.93,14,4,7,8,10,3,2273,2254,,63.8,104.6,.291,.329,.551,55.1,49.9,10.8,10.4,.522,19.0,39.8,.209
216,Northern Arizona,32,11,21,.344,-12.02,-3.55,8,12,6,6,4,13,2140,2411,,68.6,107.7,.388,.341,.568,55.4,53.0,11.5,10.3,.532,17.6,34.5,.282
217,Northern Colorado,31,13,18,.419,-7.64,-5.19,10,10,8,5,4,13,2184,2181,,66.4,105.6,.330,.379,.548,50.5,54.9,9.1,8.5,.517,16.2,32.1,.234
218,Northern Illinois,30,5,25,.167,-12.00,-2.20,3,13,3,11,2,14,1619,1885,,62.6,100.0,.509,.427,.550,52.7,56.7,10.6,10.9,.504,19.9,33.4,.359
219,Northern Iowa,36,21,15,.583,8.60,5.23,11,7,16,4,5,6,2400,2229,,63.4,96.6,.260,.349,.514,52.2,46.3,9.9,7.9,.486,17.5,29.2,.185
220,Northern Kentucky,27,11,16,.407,-7.82,-5.42,9,9,5,4,6,9,1582,1647,,60.4,101.0,.357,.350,.534,56.1,54.6,8.2,11.3,.498,18.1,34.5,.253
221,Northwestern State NCAA,32,23,9,.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,,74.4,96.0,.388,.267,.499,52.4,48.1,9.3,5.4,.469,18.9,39.4,.243
222,Northwestern,32,13,19,.406,5.36,8.30,4,14,8,11,3,7,1943,2037,,61.5,103.2,.378,.311,.511,58.6,58.9,9.4,13.0,.482,15.8,41.0,.242
223,Notre Dame NCAA,35,25,10,.714,13.74,7.22,11,7,17,2,4,5,2450,2222,,62.0,99.6,.246,.292,.495,49.4,60.7,9.0,9.3,.468,13.7,32.7,.170
224,Oakland,33,16,17,.485,-4.39,-1.61,10,6,10,2,5,14,2444,2485,,68.9,108.5,.351,.399,.590,53.5,58.9,8.4,11.0,.566,18.7,33.3,.246
225,Ohio State NCAA,37,29,8,.784,20.19,9.32,13,5,16,2,5,5,2599,2197,,64.3,92.0,.295,.362,.491,49.5,48.1,6.8,7.4,.454,18.0,30.0,.211
226,Ohio,34,24,10,.706,6.94,-1.06,14,2,16,2,7,7,2464,2192,,67.7,94.5,.459,.298,.515,56.0,54.9,9.5,8.0,.475,21.7,38.2,.306
227,Oklahoma State NCAA,33,24,9,.727,15.57,6.73,13,5,15,2,5,5,2371,2079,,67.3,91.9,.351,.343,.485,50.9,46.4,8.7,7.3,.445,18.6,33.2,.241
228,Oklahoma NCAA,32,20,12,.625,11.40,7.09,12,7,12,2,5,7,2260,2122,,66.8,98.5,.314,.343,.507,51.3,50.1,9.5,6.5,.474,16.8,34.5,.218
229,Old Dominion,30,5,25,.167,-7.59,-1.55,3,15,2,15,2,10,1947,2128,,65.9,107.2,.392,.353,.557,50.2,59.2,9.7,10.6,.523,17.5,36.5,.276
230,Oral Roberts,35,20,15,.571,-0.23,-3.00,13,5,10,4,9,8,2484,2341,,66.5,99.8,.274,.287,.513,49.4,54.0,10.4,8.9,.489,16.4,34.9,.182
231,Oregon State,32,14,18,.438,6.04,4.29,4,14,9,8,3,7,2304,2248,,68.6,102.0,.301,.314,.515,51.2,52.6,9.3,8.5,.485,15.1,35.6,.208
232,Oregon NCAA,37,28,9,.757,13.82,5.77,12,6,17,2,6,5,2650,2352,,68.8,90.8,.333,.298,.498,47.5,47.5,9.6,7.1,.464,19.4,29.6,.225
233,Pacific NCAA,35,22,13,.629,1.96,1.05,13,5,13,2,4,9,2344,2238,,63.3,100.6,.371,.385,.529,52.2,55.7,8.2,7.8,.490,17.5,32.4,.264
234,Penn State,31,10,21,.323,2.85,9.46,2,16,8,9,1,9,1910,2115,,64.4,105.0,.511,.383,.544,51.9,57.2,8.9,10.3,.494,15.4,30.7,.365
235,Pennsylvania,31,9,22,.290,-6.97,-1.48,6,8,5,7,4,12,1947,2117,,67.5,100.7,.450,.335,.531,55.7,54.6,11.2,11.4,.478,18.4,36.7,.334
236,Pepperdine,30,12,18,.400,-3.73,1.06,4,12,6,7,5,10,1883,2021,,63.8,104.0,.342,.344,.516,51.9,56.8,11.0,7.6,.477,15.0,36.1,.245
237,Pittsburgh NCAA,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,,60.4,91.6,.364,.354,.493,46.9,53.4,9.0,9.4,.446,19.2,33.0,.263
238,Portland State,28,8,20,.286,-10.84,-5.54,5,15,8,6,0,14,1929,2037,,65.3,111.0,.328,.300,.568,53.9,56.5,10.0,7.7,.540,15.5,36.5,.233
239,Portland,32,11,21,.344,-5.79,3.28,4,12,8,8,2,11,1951,2189,,65.5,103.9,.351,.340,.534,50.4,55.1,12.9,7.7,.499,15.5,33.0,.246
240,Prairie View,34,15,19,.441,-15.61,-10.10,8,10,9,4,3,13,2182,2223,,69.3,94.0,.426,.361,.493,50.3,53.2,10.8,6.7,.454,18.7,36.7,.277
241,Presbyterian,32,8,24,.250,-17.47,-4.71,4,12,7,6,1,15,1987,2248,,63.1,110.5,.333,.343,.553,56.1,49.9,10.6,8.7,.520,14.3,35.8,.240
242,Princeton,28,17,11,.607,3.16,-1.65,10,4,9,4,8,6,1803,1635,,60.4,96.2,.364,.269,.511,50.2,45.7,10.7,9.1,.468,17.9,30.5,.264
243,Providence,34,19,15,.559,9.28,6.55,9,9,14,4,4,8,2299,2206,,65.8,97.6,.330,.297,.499,50.3,54.8,9.6,9.8,.462,16.8,36.1,.231
244,Purdue,34,16,18,.471,9.04,7.87,8,10,12,7,4,7,2252,2212,,65.7,98.4,.333,.302,.495,49.3,55.2,10.7,9.9,.455,14.7,33.9,.237
245,Quinnipiac,31,15,16,.484,-4.75,-4.91,11,7,8,6,6,8,2225,2220,,67.6,103.9,.422,.316,.534,45.1,51.8,9.2,5.7,.493,13.9,28.6,.295
246,Radford,32,13,19,.406,-10.87,-7.32,7,9,8,5,4,12,2136,2179,,68.4,98.0,.393,.273,.525,52.9,50.8,10.2,9.8,.488,19.3,35.2,.270
247,Rhode Island,29,8,21,.276,-0.60,4.95,3,13,5,10,3,9,1786,1947,,63.2,104.4,.400,.330,.525,56.9,51.8,9.2,11.3,.487,16.5,39.6,.274
248,Rice,31,5,26,.161,-11.12,0.01,1,15,5,11,0,11,1875,2199,,63.8,110.8,.453,.331,.581,62.3,55.6,9.5,11.9,.551,17.9,39.8,.309
249,Richmond,34,19,15,.559,6.90,3.43,8,8,15,2,4,11,2380,2262,,64.3,101.6,.430,.269,.538,56.2,50.7,9.0,9.7,.491,19.4,38.2,.315
250,Rider,34,19,15,.559,-1.22,-1.66,12,6,9,5,8,9,2166,2151,,65.9,95.9,.383,.336,.500,52.2,52.3,10.8,8.4,.455,17.9,35.1,.271
251,Robert Morris,35,24,11,.686,0.24,-4.90,14,4,13,3,10,7,2480,2300,,66.3,98.8,.460,.344,.545,54.8,53.5,8.9,7.7,.506,21.3,37.2,.315
252,Rutgers,31,15,16,.484,5.97,6.77,5,13,9,7,4,8,2027,2052,,64.7,102.3,.398,.358,.520,51.9,59.4,9.9,7.6,.479,16.6,38.5,.279
253,Sacramento State,29,14,15,.483,-9.40,-6.77,8,12,10,4,4,11,1876,1904,,63.7,103.0,.279,.375,.526,53.4,61.6,8.5,10.4,.497,16.2,35.3,.196
254,Sacred Heart,29,9,20,.310,-9.76,-3.69,7,11,5,7,3,13,2036,2212,,68.9,109.8,.382,.322,.548,53.5,55.8,11.5,9.3,.512,15.3,39.3,.272
255,Saint Francis (PA),29,5,24,.172,-15.16,-4.37,5,13,3,10,2,14,1804,2117,,64.4,111.4,.399,.333,.573,57.0,55.4,10.7,10.1,.530,16.5,38.8,.303
256,Saint Joseph's,32,18,14,.563,7.31,4.03,8,8,11,4,5,8,2150,2045,,63.2,100.3,.239,.327,.488,52.3,56.0,9.5,8.3,.461,13.6,36.6,.166
257,Saint Louis NCAA,35,28,7,.800,14.33,4.28,13,3,17,2,6,3,2388,2036,,64.5,89.5,.350,.266,.489,52.7,54.0,9.0,10.4,.455,20.5,31.9,.229
258,Saint Mary's (CA) NCAA,35,28,7,.800,14.51,3.31,14,2,16,1,9,2,2610,2203,,64.5,97.2,.368,.287,.515,45.5,49.0,9.7,7.9,.473,16.1,26.9,.265
259,Saint Peter's,30,9,21,.300,-9.05,-2.92,3,15,5,8,4,11,1788,1972,,64.1,101.6,.416,.339,.542,55.3,53.1,9.5,10.2,.501,19.0,36.5,.296
260,Sam Houston State,34,17,17,.500,-6.45,-5.16,8,10,9,6,6,10,2168,2080,,65.3,92.4,.470,.310,.508,49.6,64.3,8.6,11.3,.458,20.0,29.4,.328
261,Samford,32,11,21,.344,-10.05,-4.38,9,9,7,6,4,12,1957,2114,,61.2,105.9,.360,.341,.545,56.4,55.0,11.0,10.7,.510,17.2,37.8,.257
262,San Diego State NCAA,34,23,11,.676,13.01,6.19,9,7,14,1,4,6,2356,2077,,66.6,91.5,.282,.328,.478,49.6,56.4,7.9,7.9,.446,16.5,30.7,.191
263,San Diego,34,16,18,.471,-0.55,2.60,7,9,10,5,4,9,2215,2260,,64.6,102.1,.362,.297,.529,53.4,49.5,10.8,10.9,.492,17.5,36.5,.256
264,San Francisco,31,15,16,.484,2.42,2.83,7,9,8,7,6,5,2161,2141,,66.7,103.1,.321,.339,.528,54.2,45.0,8.1,7.2,.495,15.2,32.0,.227
265,San Jose State,29,9,20,.310,-9.39,-0.92,3,14,5,9,4,9,1802,1999,,68.0,101.0,.339,.318,.519,52.6,56.4,9.0,12.6,.481,16.3,35.5,.243
266,Santa Clara,38,26,12,.684,6.58,1.72,9,7,15,5,10,6,2827,2577,,68.1,99.0,.413,.300,.520,51.4,54.3,8.6,7.5,.474,18.7,35.2,.297
267,Savannah State,34,19,15,.559,-5.41,-4.73,11,5,11,3,7,11,1931,1887,,63.2,86.5,.446,.276,.476,51.4,55.2,13.1,12.3,.430,22.2,36.5,.294
268,Seattle,30,8,22,.267,-4.53,-1.05,3,15,5,11,3,9,1966,2058,,70.1,96.7,.417,.359,.506,48.5,51.7,13.5,8.0,.466,17.5,32.4,.282
269,Seton Hall,33,15,18,.455,5.54,5.96,3,15,10,7,2,9,2136,2150,,65.0,99.5,.391,.317,.509,52.3,56.9,13.7,11.5,.467,16.6,35.5,.274
270,Siena,32,8,24,.250,-10.25,-1.87,4,14,4,10,2,12,1921,2189,,64.2,105.8,.277,.355,.520,53.5,57.0,12.4,13.3,.487,14.3,39.1,.201
271,South Alabama,30,17,13,.567,-2.89,-2.96,14,6,10,3,7,7,2060,2040,,69.0,97.7,.371,.283,.508,50.7,44.3,10.8,9.4,.469,18.1,36.4,.258
272,South Carolina State,30,6,24,.200,-18.17,-5.10,2,14,5,8,1,15,1808,2135,,65.9,106.7,.352,.334,.526,53.4,57.3,10.8,9.4,.495,15.5,41.2,.239
273,South Carolina Upstate,33,16,17,.485,-3.59,-4.79,9,9,9,4,5,11,2315,2194,,66.9,99.1,.344,.362,.527,49.0,59.2,10.1,5.5,.491,18.2,32.5,.244
274,South Carolina,32,14,18,.438,-0.71,2.11,4,14,10,8,1,9,2115,2205,,66.4,102.2,.458,.315,.539,50.7,55.1,12.2,13.1,.505,18.1,37.1,.302
275,South Dakota State NCAA,35,25,10,.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,,64.0,101.3,.238,.346,.529,48.7,51.0,9.6,7.2,.506,15.2,26.8,.165
276,South Dakota,30,10,20,.333,-7.50,-2.92,5,11,5,7,4,11,2113,2208,,67.2,109.6,.258,.344,.545,55.8,54.1,8.5,8.0,.524,13.5,35.9,.176
277,South Florida,31,12,19,.387,4.28,7.70,3,15,10,8,2,10,1822,1928,,60.1,101.0,.305,.337,.508,55.1,56.4,8.2,12.9,.473,16.4,38.2,.218
278,Southeast Missouri State,33,17,16,.515,-5.51,-6.06,8,8,9,5,7,8,2446,2360,,69.2,102.9,.343,.324,.495,52.2,49.6,9.4,9.2,.454,12.7,34.7,.243
279,Southeastern Louisiana,31,13,18,.419,-10.65,-3.76,10,8,9,3,3,14,1965,2113,,66.4,102.2,.412,.274,.526,54.9,51.3,8.0,10.8,.490,16.0,34.4,.276
280,Southern California,32,14,18,.438,6.31,8.25,9,9,10,6,3,9,2101,2163,,67.1,99.3,.376,.315,.508,52.5,53.3,10.5,7.4,.469,15.3,32.5,.260
281,SIU Edwardsville,27,9,18,.333,-11.19,-4.67,5,11,8,5,1,13,1699,1827,,66.3,102.1,.356,.318,.543,54.3,56.4,10.1,9.0,.514,18.6,34.5,.242
282,Southern Illinois,31,14,17,.452,-0.82,2.28,6,12,9,4,4,11,1964,2019,,63.2,102.6,.415,.352,.568,53.7,58.3,9.3,6.5,.530,21.2,35.2,.301
283,Southern Methodist,32,15,17,.469,-0.59,-1.33,5,11,7,7,6,7,2064,2007,,63.8,97.9,.390,.428,.511,50.3,61.5,11.7,9.2,.468,18.3,35.8,.275
284,Southern Mississippi,37,27,10,.730,8.95,1.49,12,4,14,2,9,6,2733,2348,,66.2,94.2,.399,.461,.521,48.2,69.9,10.3,9.8,.485,22.0,35.0,.269
285,Southern Utah,31,11,20,.355,-12.04,-5.00,8,12,9,5,2,12,2066,2230,,69.2,103.1,.556,.275,.536,50.7,51.9,11.0,8.9,.482,15.1,30.7,.392
286,Southern NCAA,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,,65.4,87.5,.342,.311,.453,53.1,41.9,7.7,8.2,.411,17.6,33.2,.230
287,St. Bonaventure,29,14,15,.483,3.44,2.71,7,9,8,6,5,9,2109,2088,,67.3,106.1,.413,.364,.557,53.9,58.1,9.2,9.7,.516,18.4,38.5,.299
