,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
266,Saint Peter's,18,8,10,.444,-5.74,-5.52,5,4,5,3,3,7,1161,1165,68.4,94.0,.416,.364,.509,46.1,57.7,11.7,13.6,.463,19.2,28.3,.294
267,Sam Houston State,21,15,6,.714,-1.24,-5.54,8,2,10,1,5,5,1699,1490,75.2,92.2,.403,.427,.520,50.2,54.5,8.7,7.4,.472,21.7,28.1,.296
268,Samford,23,8,15,.348,-11.24,-0.84,2,7,6,5,2,10,1730,1841,74.1,106.8,.257,.457,.548,51.1,62.4,9.8,8.1,.527,16.9,32.8,.176
269,San Diego State,22,22,0,1.000,19.02,2.45,11,0,11,0,8,0,1650,1258,66.7,85.7,.319,.412,.468,46.6,51.6,8.0,5.8,.424,19.3,25.5,.228
270,San Diego,23,8,15,.348,-3.67,3.05,1,7,5,6,3,6,1508,1630,71.6,98.5,.316,.336,.527,50.3,48.3,9.8,8.0,.496,16.7,25.8,.221
271,San Francisco,23,16,7,.696,8.01,2.05,5,3,10,3,5,4,1775,1593,69.5,98.6,.311,.296,.537,46.9,40.6,9.0,9.1,.502,17.0,23.9,.228
272,San Jose State,22,7,15,.318,-6.74,4.88,3,7,6,6,1,8,1536,1755,73.7,108.2,.347,.342,.556,52.2,62.4,10.0,7.7,.528,14.9,28.8,.237
273,Santa Clara,23,17,6,.739,2.87,-0.32,4,4,15,2,2,4,1773,1614,73.5,95.0,.386,.326,.509,50.6,51.5,9.7,8.0,.466,18.0,27.5,.273
274,Seattle,22,11,11,.500,-4.07,-4.02,4,3,7,3,2,7,1638,1571,71.8,97.8,.394,.367,.520,50.1,48.4,7.7,7.6,.474,16.7,26.7,.286
275,Seton Hall,20,16,4,.800,18.38,8.23,8,0,9,1,5,2,1498,1295,71.9,90.0,.331,.333,.474,49.0,47.9,9.9,10.3,.434,18.2,29.6,.229
276,Siena,18,9,9,.500,-3.50,-4.44,5,4,9,0,0,9,1308,1291,69.3,101.3,.282,.369,.543,46.6,45.9,7.8,9.6,.513,16.3,23.5,.206
277,South Alabama,23,12,11,.522,-0.81,0.04,5,7,7,5,3,5,1644,1575,67.2,101.4,.274,.434,.535,50.6,54.0,7.9,10.0,.508,17.9,30.1,.193
278,South Carolina State,19,9,10,.474,-14.12,-6.29,4,3,6,2,3,8,1345,1439,69.5,107.5,.321,.380,.560,48.7,48.3,8.1,8.3,.537,15.2,27.2,.217
279,South Carolina Upstate,22,9,13,.409,-12.40,-4.50,4,5,6,3,3,10,1518,1617,69.5,105.8,.415,.399,.570,52.2,49.5,8.6,8.9,.530,17.9,28.1,.307
280,South Carolina,20,12,8,.600,8.56,4.61,4,3,7,4,5,2,1424,1345,71.6,93.9,.515,.416,.508,47.9,55.0,8.0,8.2,.448,18.6,27.6,.369
281,South Dakota State,24,16,8,.667,2.96,-3.18,7,2,12,0,4,8,1854,1678,69.5,99.6,.259,.361,.500,47.0,40.4,9.0,9.1,.474,13.7,27.8,.174
282,South Dakota,23,15,8,.652,-1.25,-3.54,6,3,10,1,3,6,1811,1712,70.6,105.5,.295,.337,.551,49.4,41.1,7.3,7.3,.519,13.8,22.5,.217
283,South Florida,21,9,12,.429,3.82,3.34,2,6,7,4,1,4,1307,1297,65.8,93.3,.326,.410,.544,47.6,53.2,10.1,9.5,.519,22.1,23.8,.218
284,Southeast Missouri State,22,4,18,.182,-14.35,-2.50,0,9,3,5,0,12,1444,1665,68.8,109.3,.342,.361,.579,52.9,57.7,7.6,9.7,.557,16.4,27.9,.231
285,Southeastern Louisiana,21,6,15,.286,-15.22,-3.00,3,7,4,4,2,10,1408,1609,73.7,102.7,.401,.364,.562,54.5,55.9,10.2,9.2,.522,20.4,33.9,.293
286,Southern California,21,17,4,.810,11.07,4.74,6,2,9,1,5,2,1533,1400,71.0,92.2,.261,.381,.478,46.8,50.3,11.3,7.1,.449,16.1,27.7,.176
287,SIU Edwardsville,22,5,17,.227,-15.62,-5.57,2,7,3,6,2,11,1479,1623,70.3,105.0,.399,.417,.563,52.1,64.1,8.5,6.8,.519,17.7,28.7,.300
288,Southern Illinois,22,12,10,.545,0.88,-0.21,6,3,10,1,1,7,1378,1327,64.3,93.8,.254,.366,.499,53.4,53.1,10.1,9.2,.475,18.7,29.6,.169
289,Southern Methodist,20,15,5,.750,8.58,0.88,5,3,11,1,4,4,1497,1343,66.5,99.1,.245,.426,.512,45.5,60.7,10.4,9.1,.482,15.7,27.3,.179
290,Southern Mississippi,22,6,16,.273,-6.44,4.40,2,7,5,5,1,8,1472,1621,68.9,106.9,.372,.457,.564,49.9,53.9,10.4,6.3,.523,16.7,28.3,.280
291,Southern Utah,20,12,8,.600,2.01,-2.22,5,4,6,3,5,5,1480,1274,71.0,88.0,.339,.330,.477,45.4,46.8,8.4,10.1,.434,17.3,23.1,.238
292,Southern,21,8,13,.381,-12.68,-5.57,5,3,5,1,2,12,1424,1476,68.9,101.4,.466,.343,.547,48.1,46.0,9.1,7.4,.511,17.3,26.6,.315
293,St. Bonaventure,21,13,8,.619,2.46,0.76,5,3,5,3,5,5,1421,1362,66.3,97.3,.342,.435,.516,47.8,59.4,8.6,7.2,.482,17.3,26.5,.235
294,St. Francis (NY),21,10,11,.476,-11.47,-7.37,4,5,8,1,2,10,1474,1492,71.4,99.5,.345,.321,.531,50.0,46.0,8.1,7.0,.500,17.2,26.6,.236
295,St. John's (NY),22,13,9,.591,9.99,4.72,2,7,10,4,1,4,1645,1529,75.1,92.6,.376,.415,.497,50.8,57.3,7.1,9.7,.461,20.0,31.5,.252
296,Stanford,20,15,5,.750,13.99,2.59,4,3,11,2,2,2,1422,1194,69.1,85.8,.290,.370,.470,50.0,46.1,8.8,10.6,.441,20.4,27.8,.186
297,Stephen F. Austin,21,18,3,.857,4.07,-5.66,9,1,10,1,8,2,1699,1408,75.3,88.6,.493,.399,.547,45.0,55.2,10.1,8.7,.498,27.2,26.2,.355
298,Stetson,23,11,12,.478,-10.92,-5.11,5,3,5,5,5,6,1463,1515,64.9,100.9,.280,.489,.516,47.5,61.4,8.7,9.0,.489,15.3,27.9,.192
299,Stony Brook,22,14,8,.636,0.56,-3.16,5,2,6,2,6,6,1578,1453,70.1,93.2,.265,.407,.488,47.4,57.0,8.9,8.3,.457,16.6,27.0,.185
300,Syracuse,21,13,8,.619,12.28,5.28,6,4,9,4,4,2,1538,1391,66.8,98.5,.274,.507,.503,50.0,74.2,9.1,8.2,.470,16.5,31.2,.197
301,Temple,20,10,10,.500,7.31,5.11,2,6,5,4,3,4,1354,1310,71.3,91.8,.285,.440,.485,49.6,56.4,9.7,11.5,.452,17.0,26.9,.198
302,Tennessee-Martin,20,6,14,.300,-12.83,-0.50,2,7,3,4,2,8,1545,1689,71.3,118.4,.272,.411,.606,52.2,58.8,9.7,8.0,.590,15.6,34.4,.190
303,Tennessee State,22,13,9,.591,-5.67,-5.37,5,4,8,1,3,8,1650,1607,71.8,101.7,.397,.383,.532,45.2,44.8,8.2,6.5,.485,15.7,26.2,.296
304,Tennessee Tech,22,5,17,.227,-15.24,-2.94,2,7,3,7,2,8,1430,1624,69.7,105.2,.266,.384,.560,50.1,57.5,11.0,9.4,.537,16.9,27.4,.187
305,Tennessee,20,12,8,.600,11.89,5.69,4,3,8,4,2,3,1323,1199,66.8,89.7,.308,.339,.465,48.9,45.4,11.2,9.0,.429,17.0,29.0,.208
306,Texas A&M-Corpus Christi,22,9,13,.409,-10.41,-5.16,5,6,6,4,3,9,1394,1461,67.3,98.7,.368,.378,.512,47.8,52.9,12.1,11.7,.467,15.8,27.5,.269
307,Texas A&M,19,10,9,.526,2.10,4.05,4,3,7,4,3,1,1163,1200,65.3,96.1,.257,.495,.505,49.9,64.3,9.6,10.7,.472,18.5,30.8,.190
308,Texas-Arlington,22,9,13,.409,3.64,3.34,5,6,4,5,5,7,1557,1500,69.4,98.3,.351,.371,.501,50.5,51.5,6.9,9.5,.465,15.3,28.9,.241
309,Texas Christian,20,13,7,.650,11.59,6.43,4,3,11,3,1,3,1380,1261,66.9,93.1,.299,.362,.514,47.8,66.8,8.0,9.5,.488,20.8,27.6,.199
310,Texas-El Paso,22,13,9,.591,0.41,-0.12,4,5,11,1,1,7,1504,1437,69.5,93.4,.349,.364,.504,49.8,45.1,9.0,6.9,.464,17.9,25.4,.247
311,Texas-Rio Grande Valley,20,6,14,.300,-8.38,-1.80,2,5,6,3,0,9,1431,1423,70.4,99.8,.470,.345,.572,51.6,60.7,7.9,5.8,.534,22.1,27.8,.332
312,Texas-San Antonio,22,10,12,.455,-2.79,0.69,4,5,8,2,2,6,1725,1691,74.4,102.1,.360,.382,.542,49.3,44.9,7.5,8.5,.510,16.9,25.8,.250
313,Texas Southern,20,9,11,.450,-7.54,-0.12,6,1,6,1,3,10,1416,1519,75.0,100.0,.328,.355,.522,50.2,50.9,10.1,9.3,.486,17.2,31.3,.236
314,Texas State,22,13,9,.591,3.38,-0.57,6,5,9,3,4,6,1586,1397,67.4,94.2,.367,.379,.510,50.9,50.1,7.5,8.9,.464,19.6,30.4,.270
315,Texas Tech,20,13,7,.650,15.78,5.68,4,3,10,2,1,3,1471,1269,69.9,89.1,.361,.362,.498,48.7,47.5,8.6,7.4,.459,21.3,27.5,.249
316,Texas,20,13,7,.650,9.53,6.98,3,4,8,3,3,3,1319,1268,66.8,95.0,.331,.277,.493,52.1,44.0,9.7,8.3,.463,17.9,32.9,.214
317,Toledo,21,11,10,.524,2.67,-0.88,3,5,6,4,5,6,1618,1488,70.4,100.1,.266,.371,.506,48.5,47.9,9.6,10.0,.473,15.0,29.3,.193
318,Towson,22,13,9,.591,0.32,-1.30,7,3,7,3,4,3,1552,1449,66.9,97.3,.308,.417,.502,46.9,50.9,7.1,7.7,.464,15.1,27.1,.224
319,Troy,23,8,15,.348,-8.68,-1.54,4,8,6,5,2,10,1587,1659,70.8,100.9,.381,.407,.534,50.8,56.2,9.7,9.6,.499,18.3,31.1,.264
320,Tulane,20,10,10,.500,0.79,0.79,2,6,6,3,2,3,1374,1374,68.8,99.3,.270,.444,.547,55.0,62.6,7.0,8.7,.526,21.0,31.0,.183
321,Tulsa,20,14,6,.700,8.60,1.60,6,1,10,1,4,4,1425,1285,68.1,92.1,.282,.454,.488,48.9,54.3,10.5,9.4,.454,17.9,28.0,.198
322,UCLA,21,11,10,.524,6.05,6.05,4,4,8,4,2,3,1461,1435,67.0,101.3,.405,.379,.547,44.9,45.9,8.3,8.9,.504,17.4,24.8,.295
323,Utah State,23,17,6,.739,13.70,3.70,6,4,11,1,2,4,1788,1465,69.7,90.0,.272,.402,.483,44.0,45.5,9.5,9.5,.452,16.9,22.0,.189
324,Utah Valley,23,9,14,.391,-8.34,-4.04,3,5,4,5,5,9,1585,1608,71.5,97.2,.317,.303,.508,50.1,46.6,7.7,10.6,.466,15.5,25.4,.236
325,Utah,20,12,8,.600,9.23,6.18,3,5,8,1,1,5,1484,1423,69.4,101.9,.209,.355,.520,47.2,50.6,8.9,12.0,.497,14.9,27.2,.150
326,Valparaiso,22,11,11,.500,-0.04,0.72,4,5,7,1,3,7,1612,1601,71.4,100.8,.323,.337,.564,50.9,51.9,8.8,7.6,.538,19.8,26.0,.224
327,Vanderbilt,20,8,12,.400,1.88,3.28,0,7,8,6,0,5,1447,1475,70.1,103.9,.358,.331,.556,52.4,49.8,8.0,9.7,.522,18.0,29.8,.259
328,Vermont,22,16,6,.727,6.23,-3.05,6,1,7,2,8,3,1531,1287,66.8,87.6,.307,.405,.470,47.5,49.8,8.9,8.1,.430,17.3,24.5,.218
329,Villanova,20,17,3,.850,16.71,7.96,7,1,10,0,4,2,1491,1316,67.7,96.6,.221,.323,.505,48.2,47.0,9.0,11.4,.482,15.7,25.4,.153
330,Virginia Commonwealth,21,16,5,.762,12.69,2.35,6,2,12,1,4,2,1527,1310,70.4,88.6,.307,.346,.496,50.7,50.1,9.7,8.8,.459,22.1,29.4,.219
331,VMI,23,6,17,.261,-7.99,-3.04,1,9,5,6,0,10,1661,1600,67.4,100.9,.332,.388,.539,49.6,54.4,8.1,10.3,.508,17.6,27.6,.232
332,Virginia Tech,21,14,7,.667,10.60,3.08,5,5,10,2,3,3,1488,1330,66.4,94.2,.223,.436,.496,50.3,53.2,6.2,8.8,.475,16.2,24.0,.147
333,Virginia,20,14,6,.700,10.93,5.38,6,4,9,3,3,3,1125,1014,60.4,82.9,.232,.440,.452,46.2,47.2,11.9,7.1,.423,18.6,23.2,.157
334,Wagner,20,5,15,.250,-13.80,-3.96,2,7,3,5,2,10,1385,1542,70.3,108.4,.478,.421,.571,50.4,58.4,9.3,8.9,.534,16.3,28.8,.333
335,Wake Forest,20,9,11,.450,5.50,6.60,2,8,5,4,1,6,1448,1470,70.9,102.4,.341,.364,.526,47.6,49.0,10.9,9.7,.497,13.7,25.7,.228
336,Washington State,22,13,9,.591,4.65,1.38,4,5,10,2,1,5,1563,1491,70.9,95.0,.303,.307,.531,50.5,44.1,6.9,9.4,.502,19.9,24.8,.209
337,Washington,22,12,10,.545,13.21,7.03,2,7,9,4,1,4,1542,1406,69.1,91.5,.262,.376,.463,49.8,60.4,9.8,5.2,.431,16.4,32.5,.179
338,Weber State,21,8,13,.381,-7.95,0.55,4,6,5,4,3,5,1497,1483,69.7,100.1,.229,.340,.525,52.1,54.2,8.4,7.3,.503,16.0,26.5,.159
339,West Virginia,20,16,4,.800,21.19,9.09,4,3,10,0,3,4,1473,1231,71.2,86.4,.384,.388,.470,43.9,47.2,10.5,7.0,.418,19.8,27.9,.274
340,Western Carolina,20,13,7,.650,-0.44,-1.72,5,4,8,2,5,5,1599,1491,72.6,101.4,.309,.384,.525,46.9,44.9,9.0,11.4,.492,15.4,25.8,.221
341,Western Illinois,19,5,14,.263,-13.61,-2.90,2,7,4,7,1,7,1430,1534,73.7,108.9,.321,.355,.567,52.9,40.5,6.4,6.7,.534,14.1,24.5,.238
342,Western Kentucky,21,14,7,.667,4.46,0.76,7,2,9,1,3,4,1609,1492,70.4,99.7,.208,.380,.518,51.4,45.5,7.6,7.7,.492,16.9,30.8,.154
343,Western Michigan,20,9,11,.450,-6.03,-0.36,2,5,7,2,2,7,1428,1461,69.3,103.5,.300,.377,.522,52.6,47.2,7.9,8.0,.495,14.6,30.8,.204
344,Wichita State,20,17,3,.850,14.60,3.75,5,2,13,1,3,1,1491,1274,72.1,87.3,.405,.348,.485,46.7,46.3,8.4,11.5,.436,19.7,24.8,.284
345,William & Mary,23,16,7,.696,-1.07,-2.98,8,2,8,1,8,5,1668,1566,68.8,98.9,.272,.341,.505,47.1,43.0,9.7,8.6,.474,13.4,23.7,.193
346,Winthrop,22,15,7,.682,2.85,-4.30,9,0,8,2,7,5,1778,1547,72.7,95.1,.420,.392,.523,45.5,52.4,9.2,9.1,.487,19.0,25.3,.281
347,Wisconsin,21,12,9,.571,14.28,9.42,5,5,9,1,3,5,1392,1290,64.2,95.1,.265,.333,.496,50.0,47.8,7.7,9.4,.466,16.0,25.7,.183
348,Wofford,22,14,8,.636,0.36,-2.09,6,3,9,1,5,7,1599,1481,66.9,99.5,.305,.434,.533,50.8,53.0,8.5,7.8,.503,17.1,26.7,.215
349,Wright State,22,18,4,.818,4.03,-6.17,8,1,10,2,6,1,1793,1533,72.9,94.6,.247,.328,.491,47.0,39.2,8.1,6.9,.462,16.6,29.1,.172
350,Wyoming,22,5,17,.227,-4.84,4.25,0,10,4,10,1,5,1304,1481,65.2,101.6,.343,.425,.527,55.8,48.2,10.2,9.9,.498,15.9,28.2,.230
351,Xavier,21,13,8,.619,11.24,7.38,2,6,10,3,1,4,1507,1426,69.5,94.9,.325,.360,.498,48.0,49.0,9.1,8.2,.456,16.8,27.9,.239
352,Yale,18,14,4,.778,7.68,-0.26,2,0,5,0,7,4,1362,1128,68.8,87.4,.252,.392,.456,46.6,50.5,9.7,10.0,.419,15.6,23.8,.184
353,Youngstown State,23,12,11,.522,-6.70,-3.99,5,5,9,3,3,8,1667,1650,69.5,101.5,.299,.333,.520,47.7,50.1,7.8,8.3,.490,15.4,29.3,.207
