,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
162,Loyola (MD),22,9,13,.409,-11.37,-6.61,1,8,5,3,3,10,1603,1676,71.1,105.9,.321,.385,.551,51.6,56.0,9.2,9.1,.520,16.2,29.1,.231
163,Maine,21,6,15,.286,-13.55,-2.90,2,5,4,4,1,11,1287,1460,65.9,104.4,.348,.420,.552,49.9,52.6,12.2,8.0,.515,16.3,27.2,.257
164,Manhattan,17,8,9,.471,-7.40,-6.34,4,4,4,3,4,6,1084,1102,67.9,94.2,.460,.357,.508,52.0,57.3,9.1,8.6,.464,19.5,29.0,.310
165,Marist,18,4,14,.222,-14.92,-7.09,3,6,2,6,2,8,1071,1212,66.4,99.3,.398,.452,.541,51.6,61.4,9.5,6.1,.500,18.4,26.4,.287
166,Marquette,21,15,6,.714,15.33,7.09,5,4,10,1,3,4,1647,1474,71.8,95.5,.344,.347,.485,47.2,49.5,8.8,10.3,.454,13.9,26.3,.221
167,Marshall,22,10,12,.455,1.98,0.64,4,5,6,6,3,6,1651,1587,74.9,96.4,.386,.338,.503,50.7,39.9,11.4,8.1,.462,18.3,33.1,.267
168,Maryland-Baltimore County,22,9,13,.409,-10.96,-4.18,2,5,7,4,2,7,1518,1486,69.0,97.4,.332,.443,.528,50.3,49.5,9.7,9.1,.488,18.2,26.4,.246
169,Maryland-Eastern Shore,21,2,19,.095,-22.62,-1.42,1,5,2,4,0,15,1142,1520,69.1,104.1,.380,.388,.557,55.0,57.4,11.0,10.3,.525,18.5,31.1,.265
170,Maryland,21,17,4,.810,18.82,8.77,7,3,12,0,2,4,1518,1307,68.4,91.0,.225,.383,.475,45.8,55.4,8.6,11.5,.448,16.3,26.1,.156
171,Massachusetts-Lowell,22,8,14,.364,-8.96,-5.01,2,5,5,7,3,7,1659,1699,72.0,105.4,.255,.362,.542,51.8,49.1,9.2,9.6,.520,16.4,31.4,.176
172,Massachusetts,21,9,12,.429,0.07,2.07,3,5,8,3,1,6,1482,1524,70.5,101.7,.331,.313,.534,53.2,54.4,10.3,6.7,.504,17.7,31.8,.229
173,McNeese State,21,12,9,.571,-6.22,-4.58,7,3,9,2,3,7,1707,1524,72.3,99.7,.252,.404,.526,47.2,54.2,10.8,7.8,.497,17.7,30.0,.185
174,Memphis,20,15,5,.750,13.05,2.95,4,3,10,2,4,2,1474,1272,74.0,85.9,.342,.367,.459,46.3,52.7,10.2,7.3,.418,18.9,28.1,.230
175,Mercer,22,11,11,.500,-4.72,-3.12,5,4,6,4,5,5,1597,1570,71.2,100.3,.327,.389,.526,47.1,51.0,10.1,6.8,.497,16.2,27.4,.221
176,Merrimack,22,14,8,.636,-7.53,-5.43,8,1,6,2,7,5,1387,1337,64.8,92.7,.346,.310,.517,55.8,60.8,7.8,10.2,.479,22.9,33.7,.243
177,Miami (FL),20,11,9,.550,5.66,8.41,3,7,6,3,3,4,1434,1489,69.3,106.1,.213,.344,.537,53.5,56.0,9.1,11.8,.517,15.0,32.2,.147
178,Miami (OH),20,9,11,.450,-4.47,-0.75,2,5,7,4,1,5,1492,1457,70.6,103.3,.336,.385,.534,50.7,44.1,8.1,9.4,.510,15.6,28.9,.218
179,Michigan State,21,16,5,.762,22.86,8.24,8,2,10,1,3,2,1621,1314,69.7,89.7,.282,.366,.456,43.6,57.1,8.3,9.4,.422,14.4,25.3,.191
180,Michigan,20,12,8,.600,16.21,9.06,3,6,8,3,1,5,1534,1391,70.1,97.3,.281,.267,.503,49.5,38.8,7.0,6.3,.476,14.7,25.7,.189
181,Middle Tennessee,22,5,17,.227,-9.62,2.01,1,8,4,6,1,8,1571,1672,72.3,104.5,.363,.343,.558,50.8,53.5,9.2,8.7,.527,17.3,27.0,.255
182,Milwaukee,21,10,11,.476,-6.73,-2.94,5,4,7,3,2,6,1520,1532,71.1,100.3,.432,.357,.548,50.4,53.2,7.6,9.1,.505,19.3,29.1,.310
