Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
150,Drake,MVC,,,15,7,70.1,65.5,4.68,,-0.75,,-2.58,3.83,1.25,99.55,95.96,3.59
151,Georgia Southern,Sun Belt,,,13,9,76.5,70.8,5.68,,-1.13,,2.98,-2.05,0.93,100.44,97.91,2.53
152,Southern Illinois,MVC,,,12,10,62.6,60.3,2.32,,-0.21,,-7.83,8.71,0.88,97.13,94.30,2.83
153,George Mason,A-10,,,13,8,68.2,67.7,0.52,,0.33,,-1.58,2.43,0.85,100.03,97.55,2.48
154,Pennsylvania,Ivy,,,8,7,76.1,73.6,2.53,,1.52,,2.98,-2.18,0.80,101.91,99.64,2.27
155,Tulane,AAC,,,10,10,68.7,68.7,0.00,,0.79,,-0.16,0.95,0.79,101.64,99.81,1.83
156,Air Force,MWC,,,9,13,75.1,73.3,1.86,,1.44,,5.36,-4.68,0.68,108.85,106.59,2.25
157,Stony Brook,AEC,,,14,8,71.7,66.0,5.68,,-3.16,,0.80,-0.25,0.56,98.80,96.90,1.90
158,North Dakota State,Summit,,,15,7,73.1,64.9,8.27,,-3.85,,-2.22,2.77,0.55,102.58,100.02,2.56
159,Austin Peay,OVC,,,15,7,78.8,72.1,6.64,,-3.79,,3.62,-3.20,0.41,107.17,104.80,2.37
160,Texas-El Paso,CUSA,,,13,9,68.4,65.3,3.05,,-0.12,,-5.02,5.42,0.41,95.82,93.21,2.61
161,Hofstra,CAA,,,16,7,76.4,70.0,6.39,,-4.39,,2.41,-2.02,0.38,103.40,101.72,1.68
162,Wofford,Southern,,,14,8,72.7,67.3,5.36,,-2.09,,-1.10,1.46,0.36,104.32,102.65,1.67
163,Colgate,Patriot,,,16,6,75.2,69.6,5.55,,-3.63,,1.76,-1.43,0.32,103.62,101.72,1.90
164,Towson,CAA,,,13,9,70.5,65.9,4.68,,-1.30,,-1.66,1.98,0.32,101.07,99.17,1.91
165,Missouri State,MVC,,,10,12,67.1,67.2,-0.09,,0.37,,-4.03,4.30,0.27,98.46,96.56,1.90
166,La Salle,A-10,,,10,10,68.9,70.1,-1.15,,1.32,,-0.90,1.07,0.17,96.33,94.61,1.71
167,Old Dominion,CUSA,,,9,13,63.5,63.6,-0.09,,0.24,,-6.70,6.86,0.15,94.83,93.03,1.81
168,Massachusetts,A-10,,,9,12,70.6,72.6,-2.00,,2.07,,2.28,-2.22,0.07,101.58,100.18,1.41
169,Eastern Washington,Big Sky,,,13,6,83.4,75.6,7.84,,-0.62,,7.79,-7.82,-0.03,102.16,101.33,0.83
170,Valparaiso,MVC,,,11,11,73.3,72.8,0.50,,0.72,,3.25,-3.29,-0.04,101.69,100.41,1.28
171,Coastal Carolina,Sun Belt,,,11,11,78.0,74.7,3.23,,-0.33,,5.16,-5.49,-0.33,101.92,101.13,0.79
172,Western Carolina,Southern,,,13,7,80.0,74.6,5.40,,-1.72,,7.62,-8.06,-0.44,105.92,105.39,0.53
173,California Baptist,WAC,,,15,6,79.5,69.1,10.38,,-6.70,,1.88,-2.42,-0.53,101.89,101.31,0.58
174,Appalachian State,Sun Belt,,,12,10,68.7,66.4,2.32,,-0.14,,-3.28,2.74,-0.54,97.37,96.70,0.67
175,Chattanooga,Southern,,,14,8,72.6,67.5,5.09,,-2.42,,-1.03,0.32,-0.72,100.71,100.48,0.24
176,Florida International,CUSA,,,14,8,79.4,73.9,5.45,,-2.80,,6.17,-6.92,-0.75,101.56,101.79,-0.23
177,South Alabama,Sun Belt,,,12,11,71.5,68.5,3.00,,0.04,,-1.33,0.52,-0.81,104.28,104.06,0.22
178,William & Mary,CAA,,,16,7,72.5,68.1,4.43,,-2.98,,-0.48,-0.60,-1.07,100.98,101.21,-0.23
179,Montana,Big Sky,,,11,10,69.3,69.9,-0.57,,0.08,,-1.38,0.20,-1.18,97.20,97.60,-0.40
180,Sam Houston State,Southland,,,15,6,80.9,71.0,9.95,,-5.54,,3.53,-4.77,-1.24,99.95,99.85,0.10
181,South Dakota,Summit,,,15,8,78.7,74.4,4.30,,-3.54,,4.87,-6.12,-1.25,107.65,107.68,-0.03
182,Central Michigan,MAC (West),,,11,8,82.3,75.9,6.32,,0.13,,6.44,-7.75,-1.31,101.66,102.09,-0.43
183,Alabama-Birmingham,CUSA,,,13,9,65.3,63.4,1.86,,-1.25,,-6.02,4.57,-1.45,97.66,98.41,-0.75
184,Loyola Marymount,WCC,,,8,14,65.4,67.8,-2.41,,2.80,,-6.35,4.58,-1.77,100.14,102.06,-1.92
185,North Florida,A-Sun,,,13,10,77.3,74.5,2.83,,-0.90,,4.70,-6.51,-1.81,105.78,107.02,-1.24
186,George Washington,A-10,,,10,11,69.2,69.0,0.24,,-2.10,,-1.69,-0.17,-1.87,99.35,100.65,-1.30
187,Arkansas State,Sun Belt,,,15,8,70.5,70.0,0.48,,-1.16,,-0.41,-1.51,-1.92,104.14,105.71,-1.57
188,Radford,Big South,,,12,9,69.8,64.6,5.19,,-2.64,,-4.00,2.04,-1.96,101.05,102.49,-1.44
189,UC-Santa Barbara,Big West,,,13,8,71.5,67.1,4.33,,-4.75,,-2.68,0.61,-2.06,103.53,104.63,-1.10
190,Florida Atlantic,CUSA,,,13,9,71.3,68.2,3.05,,-2.19,,-2.05,-0.04,-2.08,97.73,99.26,-1.53
191,Boston University,Patriot,,,12,10,72.1,68.7,3.45,,-4.40,,-1.58,-0.54,-2.11,100.71,102.58,-1.87
192,Northern Illinois,MAC (West),,,12,9,67.1,64.3,2.81,,-2.86,,-7.80,5.49,-2.31,94.60,96.62,-2.02
193,Ohio,MAC (East),,,10,11,71.3,69.5,1.76,,-0.21,,0.01,-2.33,-2.31,101.79,103.92,-2.13
194,Delaware,CAA,,,15,7,73.9,69.8,4.09,,-4.42,,-0.14,-2.19,-2.33,101.07,102.95,-1.88
195,Sacramento State,Big Sky,,,11,7,60.8,56.6,4.22,,-1.77,,-11.74,9.41,-2.33,90.55,92.31,-1.76
196,Illinois State,MVC,,,7,14,66.1,69.6,-3.52,,2.15,,-2.38,-0.13,-2.50,98.33,100.51,-2.18
197,Northern Arizona,Big Sky,,,11,7,72.3,67.3,4.94,,-1.39,,-1.22,-1.48,-2.70,101.49,103.78,-2.29
198,Portland State,Big Sky,,,11,12,77.7,75.0,2.70,,-1.97,,5.09,-7.82,-2.73,104.59,107.31,-2.72
199,Texas-San Antonio,CUSA,,,10,12,78.4,76.9,1.55,,0.69,,7.88,-10.67,-2.79,104.02,106.12,-2.10
200,East Carolina,AAC,,,9,12,68.9,71.2,-2.38,,-0.82,,-0.50,-2.69,-3.20,97.28,100.70,-3.42
201,UC-Riverside,Big West,,,14,9,66.9,61.5,5.39,,-4.39,,-7.42,4.03,-3.39,96.48,99.78,-3.29
202,Princeton,Ivy,,,7,8,72.9,72.2,0.67,,-0.83,,0.21,-3.62,-3.41,102.72,106.29,-3.57
203,Abilene Christian,Southland,,,11,9,75.4,64.6,10.80,,-3.18,,-2.78,-0.66,-3.43,94.61,98.10,-3.50
204,Siena,MAAC,,,9,9,72.7,71.7,0.94,,-4.44,,0.82,-4.31,-3.50,100.83,104.11,-3.28
205,San Diego,WCC,,,8,15,65.6,70.9,-5.30,,3.05,,-4.68,1.01,-3.67,92.17,95.97,-3.80
206,Nicholls State,Southland,,,14,8,76.5,67.9,8.59,,-3.88,,-3.70,-0.01,-3.71,94.05,96.86,-2.81
207,Lafayette,Patriot,,,13,7,73.1,69.4,3.70,,-5.56,,-1.92,-1.86,-3.77,101.06,104.86,-3.80
208,Montana State,Big Sky,,,11,9,67.6,65.9,1.65,,-1.94,,-5.45,1.51,-3.94,94.51,98.49,-3.99
209,Brown,Ivy,,,7,8,68.5,71.1,-2.67,,0.67,,-1.93,-2.11,-4.04,95.65,100.34,-4.69
210,Seattle,WAC,,,11,11,74.5,71.4,3.05,,-4.02,,-1.01,-3.06,-4.07,97.28,101.92,-4.64
211,Rider,MAAC,,,11,8,72.9,71.8,1.11,,-5.20,,0.92,-5.01,-4.09,98.99,103.37,-4.38
212,Drexel,CAA,,,12,10,68.7,69.2,-0.55,,-1.97,,-2.65,-1.47,-4.11,97.25,102.03,-4.78
213,Omaha,Summit,,,12,10,73.2,76.2,-3.00,,-0.10,,0.82,-4.96,-4.14,100.81,105.01,-4.20
214,Bryant,NEC,,,10,11,71.6,68.6,2.95,,-4.83,,-0.83,-3.35,-4.18,96.07,100.32,-4.25
215,Prairie View,SWAC,,,10,10,72.1,70.6,1.50,,-2.93,,-2.12,-2.09,-4.21,94.26,98.41,-4.15
216,Dartmouth,Ivy,,,7,10,66.9,64.8,2.12,,-3.66,,-7.05,2.58,-4.47,92.91,97.82,-4.90
217,Miami (OH),MAC (East),,,9,11,74.6,72.9,1.75,,-0.75,,0.32,-4.79,-4.47,102.56,107.27,-4.71
218,Eastern Illinois,OVC,,,11,10,75.5,68.3,7.14,,-7.48,,-2.83,-1.64,-4.48,95.44,100.76,-5.31
